timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543217976340,4254,,200,HTTP/1.1 200, 1-7,text,true,,132,0,10000,10000,http://172.23.239.222:9001/container/metrics,4254,0,0
1543217976341,4254,,200,HTTP/1.1 200, 1-9,text,true,,132,0,9999,9999,http://172.23.239.222:9001/container/metrics,4254,0,0
1543217976340,4255,,200,HTTP/1.1 200, 1-5,text,true,,132,0,9998,9998,http://172.23.239.222:9001/container/metrics,4255,0,0
1543217976339,4257,,200,HTTP/1.1 200, 1-3,text,true,,132,0,9997,9997,http://172.23.239.222:9001/container/metrics,4257,0,0
1543217976340,4257,,200,HTTP/1.1 200, 1-4,text,true,,132,0,9996,9996,http://172.23.239.222:9001/container/metrics,4257,0,0
1543217976340,4257,,200,HTTP/1.1 200, 1-6,text,true,,132,0,9995,9995,http://172.23.239.222:9001/container/metrics,4257,0,0
1543217976340,4257,,200,HTTP/1.1 200, 1-8,text,true,,132,0,9995,9995,http://172.23.239.222:9001/container/metrics,4257,0,0
1543217976339,4259,,200,HTTP/1.1 200, 1-2,text,true,,132,0,9993,9993,http://172.23.239.222:9001/container/metrics,4259,0,0
1543217976339,4259,,200,HTTP/1.1 200, 1-1,text,true,,132,0,9992,9992,http://172.23.239.222:9001/container/metrics,4259,0,0
1543217976342,4343,,200,HTTP/1.1 200, 1-18,text,true,,132,0,9991,9991,http://172.23.239.222:9001/container/metrics,4343,0,0
1543217976342,4374,,200,HTTP/1.1 200, 1-19,text,true,,132,0,9990,9990,http://172.23.239.222:9001/container/metrics,4374,0,0
1543217976343,4373,,200,HTTP/1.1 200, 1-21,text,true,,132,0,9990,9990,http://172.23.239.222:9001/container/metrics,4373,0,0
1543217976342,4471,,200,HTTP/1.1 200, 1-20,text,true,,132,0,9988,9988,http://172.23.239.222:9001/container/metrics,4471,0,0
1543217976344,4488,,200,HTTP/1.1 200, 1-25,text,true,,132,0,9987,9987,http://172.23.239.222:9001/container/metrics,4488,0,0
1543217976347,4485,,200,HTTP/1.1 200, 1-32,text,true,,132,0,9986,9986,http://172.23.239.222:9001/container/metrics,4485,0,0
1543217976345,4487,,200,HTTP/1.1 200, 1-26,text,true,,132,0,9985,9985,http://172.23.239.222:9001/container/metrics,4487,0,0
1543217976348,4484,,200,HTTP/1.1 200, 1-38,text,true,,132,0,9984,9984,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976347,4485,,200,HTTP/1.1 200, 1-34,text,true,,132,0,9984,9984,http://172.23.239.222:9001/container/metrics,4485,0,0
1543217976346,4486,,200,HTTP/1.1 200, 1-29,text,true,,132,0,9983,9983,http://172.23.239.222:9001/container/metrics,4486,0,0
1543217976348,4484,,200,HTTP/1.1 200, 1-37,text,true,,132,0,9982,9982,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976348,4484,,200,HTTP/1.1 200, 1-39,text,true,,132,0,9981,9981,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976348,4484,,200,HTTP/1.1 200, 1-42,text,true,,132,0,9980,9980,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976350,4482,,200,HTTP/1.1 200, 1-50,text,true,,132,0,9979,9979,http://172.23.239.222:9001/container/metrics,4482,0,0
1543217976348,4484,,200,HTTP/1.1 200, 1-41,text,true,,132,0,9979,9979,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976348,4485,,200,HTTP/1.1 200, 1-40,text,true,,132,0,9978,9978,http://172.23.239.222:9001/container/metrics,4485,0,0
1543217976349,4484,,200,HTTP/1.1 200, 1-46,text,true,,132,0,9978,9978,http://172.23.239.222:9001/container/metrics,4484,0,0
1543217976357,4475,,200,HTTP/1.1 200, 1-84,text,true,,132,0,9985,9985,http://172.23.239.222:9001/container/metrics,4475,0,0
1543217976344,4492,,200,HTTP/1.1 200, 1-24,text,true,,132,0,9973,9973,http://172.23.239.222:9001/container/metrics,4492,0,0
1543217976343,4493,,200,HTTP/1.1 200, 1-23,text,true,,132,0,9972,9972,http://172.23.239.222:9001/container/metrics,4493,0,0
1543217976346,4490,,200,HTTP/1.1 200, 1-28,text,true,,132,0,9972,9972,http://172.23.239.222:9001/container/metrics,4490,0,0
1543217976347,4498,,200,HTTP/1.1 200, 1-33,text,true,,132,0,9970,9970,http://172.23.239.222:9001/container/metrics,4498,0,0
1543217976347,4498,,200,HTTP/1.1 200, 1-30,text,true,,132,0,9970,9970,http://172.23.239.222:9001/container/metrics,4498,0,0
1543217976348,4497,,200,HTTP/1.1 200, 1-36,text,true,,132,0,9970,9970,http://172.23.239.222:9001/container/metrics,4497,0,0
1543217976353,4492,,200,HTTP/1.1 200, 1-65,text,true,,132,0,9969,9969,http://172.23.239.222:9001/container/metrics,4492,0,0
1543217976355,4490,,200,HTTP/1.1 200, 1-74,text,true,,132,0,9967,9967,http://172.23.239.222:9001/container/metrics,4490,0,0
1543217976349,4496,,200,HTTP/1.1 200, 1-44,text,true,,132,0,9966,9966,http://172.23.239.222:9001/container/metrics,4496,0,0
1543217976356,4489,,200,HTTP/1.1 200, 1-79,text,true,,132,0,9965,9965,http://172.23.239.222:9001/container/metrics,4489,0,0
1543217976349,4496,,200,HTTP/1.1 200, 1-43,text,true,,132,0,9964,9964,http://172.23.239.222:9001/container/metrics,4496,0,0
1543217976350,4495,,200,HTTP/1.1 200, 1-52,text,true,,132,0,9963,9963,http://172.23.239.222:9001/container/metrics,4495,0,0
1543217976353,4492,,200,HTTP/1.1 200, 1-64,text,true,,132,0,9962,9962,http://172.23.239.222:9001/container/metrics,4492,0,0
1543217976352,4493,,200,HTTP/1.1 200, 1-61,text,true,,132,0,9961,9961,http://172.23.239.222:9001/container/metrics,4493,0,0
1543217976350,4495,,200,HTTP/1.1 200, 1-51,text,true,,132,0,9960,9960,http://172.23.239.222:9001/container/metrics,4495,0,0
1543217976346,4499,,200,HTTP/1.1 200, 1-27,text,true,,132,0,9958,9958,http://172.23.239.222:9001/container/metrics,4499,0,0
1543217976353,4493,,200,HTTP/1.1 200, 1-63,text,true,,132,0,9957,9957,http://172.23.239.222:9001/container/metrics,4493,0,0
1543217976351,4506,,200,HTTP/1.1 200, 1-57,text,true,,132,0,9956,9956,http://172.23.239.222:9001/container/metrics,4506,0,0
1543217976352,4505,,200,HTTP/1.1 200, 1-60,text,true,,132,0,9956,9956,http://172.23.239.222:9001/container/metrics,4505,0,0
1543217976351,4507,,200,HTTP/1.1 200, 1-59,text,true,,132,0,9956,9956,http://172.23.239.222:9001/container/metrics,4507,0,0
1543217976353,4505,,200,HTTP/1.1 200, 1-66,text,true,,132,0,9953,9953,http://172.23.239.222:9001/container/metrics,4505,0,0
1543217976351,4507,,200,HTTP/1.1 200, 1-58,text,true,,132,0,9952,9952,http://172.23.239.222:9001/container/metrics,4507,0,0
1543217976355,4503,,200,HTTP/1.1 200, 1-73,text,true,,132,0,9951,9951,http://172.23.239.222:9001/container/metrics,4503,0,0
1543217976349,4509,,200,HTTP/1.1 200, 1-48,text,true,,132,0,9950,9950,http://172.23.239.222:9001/container/metrics,4509,0,0
1543217976354,4504,,200,HTTP/1.1 200, 1-71,text,true,,132,0,9949,9949,http://172.23.239.222:9001/container/metrics,4504,0,0
1543217976356,4502,,200,HTTP/1.1 200, 1-77,text,true,,132,0,9948,9948,http://172.23.239.222:9001/container/metrics,4502,0,0
1543217976350,4508,,200,HTTP/1.1 200, 1-55,text,true,,132,0,9948,9948,http://172.23.239.222:9001/container/metrics,4508,0,0
1543217976357,4502,,200,HTTP/1.1 200, 1-82,text,true,,132,0,9947,9947,http://172.23.239.222:9001/container/metrics,4502,0,0
1543217976356,4503,,200,HTTP/1.1 200, 1-81,text,true,,132,0,9947,9947,http://172.23.239.222:9001/container/metrics,4503,0,0
1543217976355,4504,,200,HTTP/1.1 200, 1-75,text,true,,132,0,9945,9945,http://172.23.239.222:9001/container/metrics,4504,0,0
1543217976349,4510,,200,HTTP/1.1 200, 1-49,text,true,,132,0,9945,9945,http://172.23.239.222:9001/container/metrics,4510,0,0
1543217976350,4509,,200,HTTP/1.1 200, 1-53,text,true,,132,0,9944,9944,http://172.23.239.222:9001/container/metrics,4509,0,0
1543217976354,4505,,200,HTTP/1.1 200, 1-69,text,true,,132,0,9943,9943,http://172.23.239.222:9001/container/metrics,4505,0,0
1543217976349,4510,,200,HTTP/1.1 200, 1-47,text,true,,132,0,9942,9942,http://172.23.239.222:9001/container/metrics,4510,0,0
1543217976357,4502,,200,HTTP/1.1 200, 1-85,text,true,,132,0,9941,9941,http://172.23.239.222:9001/container/metrics,4502,0,0
1543217976353,4506,,200,HTTP/1.1 200, 1-67,text,true,,132,0,9940,9940,http://172.23.239.222:9001/container/metrics,4506,0,0
1543217976358,4501,,200,HTTP/1.1 200, 1-87,text,true,,132,0,9940,9940,http://172.23.239.222:9001/container/metrics,4501,0,0
1543217976347,4512,,200,HTTP/1.1 200, 1-31,text,true,,132,0,9938,9938,http://172.23.239.222:9001/container/metrics,4512,0,0
1543217976354,4505,,200,HTTP/1.1 200, 1-70,text,true,,132,0,9936,9936,http://172.23.239.222:9001/container/metrics,4505,0,0
1543217976357,4502,,200,HTTP/1.1 200, 1-83,text,true,,132,0,9938,9938,http://172.23.239.222:9001/container/metrics,4502,0,0
1543217976356,4506,,200,HTTP/1.1 200, 1-78,text,true,,132,0,9933,9933,http://172.23.239.222:9001/container/metrics,4506,0,0
1543217976352,4510,,200,HTTP/1.1 200, 1-62,text,true,,132,0,9933,9933,http://172.23.239.222:9001/container/metrics,4510,0,0
1543217976355,4507,,200,HTTP/1.1 200, 1-72,text,true,,132,0,9932,9932,http://172.23.239.222:9001/container/metrics,4507,0,0
1543217976354,4517,,200,HTTP/1.1 200, 1-68,text,true,,132,0,9930,9930,http://172.23.239.222:9001/container/metrics,4517,0,0
1543217976350,4522,,200,HTTP/1.1 200, 1-54,text,true,,132,0,9929,9929,http://172.23.239.222:9001/container/metrics,4522,0,0
1543217976358,4514,,200,HTTP/1.1 200, 1-86,text,true,,132,0,9928,9928,http://172.23.239.222:9001/container/metrics,4514,0,0
1543217976355,4517,,200,HTTP/1.1 200, 1-76,text,true,,132,0,9927,9927,http://172.23.239.222:9001/container/metrics,4517,0,0
